Recipe_Index,Title,Ingredients,Instructions,Image_Name,Count,Rating
0,Chicken and Rice With Leeks and Salsa Verde,"['1½ lb. skinless, boneless chicken thighs (4–8 depending on size)', 'Kosher salt, freshly ground pepper', '3 Tbsp. unsalted butter, divided', '2 large or 3 medium leeks, white and pale green parts only, halved lengthwise, thinly sliced', 'Zest and juice of 1 lemon, divided', '1½ cups long-grain white rice, rinsed until water runs clear', '2¾ cups low-sodium chicken broth', '1 oil-packed anchovy fillet', '2 garlic cloves', '1 Tbsp. drained capers', 'Crushed red pepper flakes', '1 cup tender herb leaves (such as parsley, cilantro, and/or mint)', '4–5 Tbsp. extra-virgin olive oil']","Season chicken with salt and pepper. Melt 2 Tbsp. butter in a large high-sided skillet over medium-high heat. Add leeks and half of lemon zest, season with salt and pepper, and mix to coat leeks in butter. Reduce heat to medium-low, cover, and cook, stirring occasionally, until leeks are somewhat tender, about 5 minutes. Remove lid, increase heat to medium-high, and cook, stirring occasionally, until tender and just starting to take on color, about 3 minutes. Add rice and cook, stirring often, 3 minutes, then add broth, scraping up any browned bits. Tuck short sides of each chicken thigh underneath so they are touching and nestle seam side down into rice mixture. Bring to a simmer. Cover, reduce heat to medium-low, and cook until rice is tender and chicken is cooked through, about 20 minutes. Remove from heat. Cut remaining 1 Tbsp. butter into small pieces and scatter over mixture. Re-cover and let sit 10 minutes.
Meanwhile, pulse anchovy, garlic, capers, a few pinches of red pepper flakes, and remaining lemon zest in a food processor until finely chopped. Add herbs; process until a paste forms. With motor running, gradually stream in oil until loosened to a thick sauce. Add half of lemon juice; season salsa verde with salt.
Drizzle remaining lemon juice over chicken and rice. Serve with salsa verde.",chicken-and-rice-with-leeks-and-salsa-verde,0,
1,Enfrijoladas,"['5 Tbsp. vegetable oil, divided', '8 corn tortillas', '12 oz. fresh chorizo', '3 garlic cloves, crushed', '½ medium white onion, thinly sliced, plus more for serving', 'Kosher salt', '2 (15-oz.) cans black beans, rinsed, or 3 cups Frijoles de la Olla, drained', '1½ cups low-sodium chicken broth', '6 oz. queso fresco or Cotija cheese, crumbled', 'Cilantro leaves with tender stems and sliced avocado (for serving)']","Using 2 Tbsp. oil, brush both sides of each tortilla. Heat a large skillet over medium-high. Working in batches, cook until lightly browned and starting to crisp, about 1 minute per side. Set aside.
Heat remaining 3 Tbsp. oil in same skillet over medium-high. Cook chorizo, breaking up with a wooden spoon, until browned and cooked through, 7–9 minutes. Using a slotted spoon, transfer to a medium bowl; set aside.
Add garlic and ½ onion to same skillet, season with salt, and cook, tossing occasionally, until tender and beginning to brown, 6–8 minutes. Using slotted spoon, transfer garlic mixture to a blender; reserve pan with oil. Add beans and broth to blender and purée until smooth (it should be the consistency of yogurt); season with salt.
Set reserved pan over medium-high and heat oil. Transfer bean purée to skillet and bring to a boil. Reduce heat to low. Working one at a time and using tongs, dip tortillas in bean purée, turning to coat and leaving until softened, about 3 seconds per side (they will soften more as they sit). Transfer to a baking sheet as you go. Spoon 1 Tbsp. chorizo and 1 Tbsp. queso fresco across the center of each tortilla; fold over like a taco.
Divide among plates and spoon remaining bean purée over. Top with cilantro, avocado, more onion, remaining chorizo, and remaining queso.",enfrijoladas,0,
2,Veselka's Famous Borscht,"['3 pounds (10 to 12) small beets, scrubbed thoroughly but not peeled', '9 tablespoons white vinegar', 'One 2-pound boneless pork butt, halved', '8 cups beef, chicken, or vegetable stock', '1 bay leaf', '1 teaspoon whole allspice berries', '1 tablespoon whole black peppercorns', '3 large carrots, peeled and sliced', '3 large celery stalks, sliced', '1 small head of green cabbage (about ¾ to 1 pound), shredded (about 4 cups)', '2 medium Idaho potatoes, peeled and cut into ½-inch dice', 'One 15-ounce can lima beans, drained and rinsed', 'Salt']","To make the “beet water,” roughly chop 2 pounds of the beets (select the smaller ones), preferably in a food processor fitted with the metal blade. Place the chopped beets in a large stockpot. Add 10 cups of water and 1 tablespoon vinegar.
Place the stockpot over high heat and bring to a boil, then reduce the heat to low, and simmer for 2 hours. (If it seems like the liquid is evaporating too quickly, you may need to cover the pot partially with an offset lid.) The beets should be extremely soft and the liquid bright red.
Strain the liquid, pressing the cooked beets against the side of the strainer to extract as much liquid as possible. Discard the pulp or reserve. Set aside the beet water. You should have just about 4 cups.
Meanwhile, place the remaining 1 pound of whole beets in a separate large stockpot. Add water to cover and bring to a boil. Reduce the heat to low, and simmer until the beets are tender-firm, about 40 minutes. When the beets are cooked, add 1 tablespoon white vinegar and set them aside to cool.
When the whole cooked beets are cool enough to handle, peel them; the skins should slip off easily. Grate the peeled beets on the largest holes of a box grater or in a food processor fitted with the grating blade.
To make the broth, place the pork butt in a large stockpot and add the beef stock. If necessary, add a little more stock or water to cover. Add the bay leaf, allspice berries, and peppercorns. Bring to a boil, reduce the heat to low, and simmer until the meat is tender and beginning to fall apart, about 2 hours. Set the pork aside to cool. When the pork is cool enough to handle, remove it from the pot and cut the meat into ½-inch cubes. Strain the broth and discard the bay leaf, allspice berries, and peppercorns. Reserve the cubed meat and 4 cups of the broth.
To cook the vegetables, place the carrots and celery in a large stockpot and pour the reserved meat broth over them. Bring to a boil, reduce the heat, and simmer until the carrots and celery are just tender, about 8 minutes. Add the cabbage and potatoes and continue to cook until the potatoes and carrots are easily pierced with a pairing knife but keep their shape, 15 to 20 additional minutes. Add the lima beans and cook for 5 additional minutes, just to meld the flavors. Gradually add the remaining 7 tablespoons white vinegar, tasting between additions and stopping when the flavor is to your liking. Remove the soup from the heat and set aside.
To compose the soup, in a large soup pot combine the “beet water” and meat broth with the vegetables. Add the cubed pork and the grated beets. Stir to combine and bring to a simmer over low heat. Season to taste with salt and serve immediately.",veselkas-famous-borscht,0,
3,Zucchini-Lentil Fritters With Lemony Yogurt,"['¾ cup whole-milk yogurt', '2 Tbsp. fresh lemon juice', '½ tsp. sugar', 'Kosher salt', '1 cup red lentils (masoor dal)', '1 medium zucchini (about 5 oz.)', '½ medium onion, thinly sliced', '1¾ tsp. kosher salt, divided, plus more', '½ tsp. Kashmiri chile powder or ¼ tsp. cayenne pepper', '¼ tsp. ground turmeric', '1 cup parsley leaves with tender stems', '1 Tbsp. finely grated lemon zest', '1 cup ghee or neutral vegetable oil']","Whisk yogurt, lemon juice, and sugar in a small bowl to combine. Season with salt.
Do Ahead: Yogurt can be made 1 day ahead. Cover and chill.
Rinse lentils, then soak in 2 cups water at room temperature at least 1 hour and up to 12 hours. (Soaking the lentils makes them tender and a lot easier to blend.)
Meanwhile, trim ends of zucchini and cut crosswise into 3 pieces about 2"" long. Cut each piece lengthwise into ¼""-thick planks. Stack a few planks and slice lengthwise into ¼""-thick matchsticks (about the size of a skinny french fry). Transfer zucchini to a colander set in a medium bowl. Add onion and 1 tsp. salt and toss to combine. Let sit until vegetables look wilted and softened and about 1 Tbsp. liquid has released into bowl, 30 minutes to 2 hours. Gently pat dry with paper towels to remove any excess moisture.
Drain lentils and transfer to a food processor. Add chile powder, turmeric, and ¾ tsp. salt. Pulse, scraping down sides, until a purée forms. Transfer to a medium bowl and add zucchini and onion, parsley, and lemon zest. Toss with a rubber spatula to combine.
Line a rimmed baking sheet with paper towels; set a wire rack inside. Heat ghee in a medium cast-iron skillet over medium-high until a pinch of batter added to the pan sizzles and sputters. Using a large spoon, scoop out about ¼ cup batter, then use a second large spoon dipped in the hot ghee to carefully scrape into pan; flatten with ghee-coated spoon. Repeat to make 3 more fritters. Fry until deep golden brown underneath, about 3 minutes. Turn over with a wide slotted spatula and fry until deep golden brown on the second side, about 3 minutes. Transfer fritters to prepared rack to drain; season immediately with salt. Repeat with remaining batter (you end up with 8–10 fritters total).
Transfer fritters to a platter. Serve with lemony yogurt alongside.",zucchini-lentil-fritters-with-lemony-yogurt,0,
4,Doenjang Jjigae (된장찌개 / Fermented-Soybean Stew),"['4 cups Dashi', '¼ cup doenjang (Korean fermented soybean paste)', '1 tablespoon gochujang (Korean red chili paste)', '1 tablespoon gochugaru (Korean red chili flakes)', '6 garlic cloves, minced', '2 tablespoons soy sauce, or more to taste', '2 medium onions, cut into 1-inch dice', '2 medium green zucchini, cut into 1-inch chunks', '1 red Korean chili pepper or other long hot chili, thinly sliced on the bias', '1 green Korean chili pepper or other long hot chili, thinly sliced on the bias', '½ pound brisket, sliced ⅛ inch thick (you can ask your butcher to slice it) and cut into 2- to 3-inch strips', '1 pound soft or silken tofu, homemade (page 67) or store-bought, cut into 1-inch cubes', '½ bunch scallions', 'cut into 1-inch batons']","Put the dashi in a stockpot or other large pot set over medium-high heat and bring to a simmer. Whisk in the doenjang and cook for 10 minutes to bring out its natural sweetness. Add the gochujang and simmer for 5 minutes. Add the gochugaru, garlic, and soy sauce and simmer for another 10 minutes.
Add the onions and simmer for 5 minutes. Add the zucchini and simmer for 5 minutes. (Adding the vegetables at different times will ensure that they will all be fully cooked at the end.) Add the chili peppers, beef, and tofu and simmer for 5 minutes. Taste and adjust the seasoning with more soy sauce if necessary.
Remove the pot from the heat, add the scallions, put on the lid, and let the stew rest for at least 30 minutes, and up to 2 hours, before serving. Serve with steamed rice and your favorite banchan, as any and all pair well with this stew.",doenjang-jjigae-fermented-soybean-stew-my-korea,0,
5,Burst Cherry Tomato Pasta,"['½ cup extra-virgin olive oil, plus more for drizzling', '6 garlic cloves, smashed', '2½ lb. cherry tomatoes (about 4 pints)', '2 large sprigs basil, plus 1 cup basil leaves, torn if large', '¾ tsp. crushed red pepper flakes', '1½ tsp. kosher salt, plus more', 'Pinch of sugar (optional)', '12 oz. casarecce or other medium-size pasta', '1 oz. Parmesan', 'finely grated (about ½ cup)', 'plus more for serving']","Heat ½ cup oil in a large heavy pot over low. Add garlic and cook, stirring often with a wooden spoon, until softened but not browned, about 2 minutes.
Increase heat to medium and add tomatoes, basil sprigs, red pepper flakes, and 1½ tsp. salt. Cook, stirring to coat, until some of the tomatoes begin to burst and release their juices, about 4 minutes. Smash some but not all of the tomatoes with the spoon to help release their liquid, then continue to cook, stirring occasionally, until a chunky, thickened sauce forms (about half the tomatoes should still be intact), 10–12 minutes. Taste and add sugar if sauce is too tart and add more salt if needed. Pluck out and discard basil sprigs.
Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente.
Drain pasta, add to pot with sauce, and cook, stirring, until coated, about 1 minute. Remove from heat and stir in 1 oz. Parmesan.
Divide pasta among bowls; drizzle with oil. Top with more Parmesan and 1 cup basil leaves.",burst-cherry-tomato-pasta,0,
6,Plátanos Horneados con Crema y Queso (Baked Banana With Crema and Cheese),"['6 heirloom bananas or small plantains, ripe but not black, unpeeled', '1 cup (230 g) crema or crème fraîche', '1 cup (120 g) crumbled queso fresco']","Preheat the oven to 204°C.
Place the whole bananas or plantains on a baking sheet and bake, turning them every 10 minutes, until the peel starts to split and the inside is tender when tested with a skewer, about 40 minutes. Remove from the oven but keep on the baking sheet. Carefully slice the peel lengthwise to just reveal the flesh and drizzle with some crema and sprinkle with cheese. Transfer to plates to serve individually, on a platter, or directly on the baking sheet on the table. Either way, people should carve out their own banana. Serve the remaining crema and cheese in bowls on the side, in case anyone wants more.",platanos-horneados-con-crema-y-queso-baked-banana,0,
7,Savory Gruyère Bread With Ham,"['4 tablespoons (½ stick/56 grams) unsalted butter, melted and cooled, plus more for the pan', '2½ cups (325 grams) all-purpose flour, plus more for the pan', '1½ teaspoons baking powder', '1 teaspoon fine sea salt', '½ teaspoon baking soda', '1 cup (180 grams) coarsely chopped ham', '3 tablespoons thinly sliced scallions, white and green parts (optional)', '1 tablespoon chopped fresh thyme leaves', '2 cups (8 ounces/198 grams) grated Gruyère or sharp cheddar cheese', '2 large eggs', '1 cup (240 milliliters) buttermilk']","Heat the oven to 350ºF. Butter and flour a metal 9 × 5-inch loaf pan and set it aside.
In a large bowl, whisk together the flour, baking powder, salt, and baking soda. Stir in the chopped ham, scallions if using, thyme, and 1¾ cups (7 ounces) of the Gruyère (reserving the rest for topping). In a separate bowl, whisk together the melted butter, eggs, and buttermilk. Add the wet mixture to the flour mixture and stir to combine. The batter will be thick.
Transfer the batter to the prepared loaf pan and spread it out evenly, smoothing the top. Sprinkle the remaining ¼ cup (1 ounce) cheese over the top. Bake until the top springs back when lightly pressed and a skewer inserted in the center comes out with some moist crumbs attached, 45 to 55 minutes.
Transfer the pan to a wire rack and let it cool for 10 minutes. Then remove the bread from the pan and let it cool completely on the wire rack.",savory-gruyere-bread-with-ham-melissa-clark,0,
8,Pulled Pork Sandwiches,"['4 tablespoons sweet paprika', '2 tablespoons chili powder', '2 tablespoons ground cumin', '2 tablespoons dark brown sugar', '2 tablespoons salt', '1 tablespoon dried oregano', '1 tablespoon sugar', '2 tablespoons ground black pepper', '2 teaspoons cayenne pepper', '1 bone-in pork roast, preferably Boston butt (6-8 pounds)', '2 tablespoons vegetable oil', '1 onion, finely chopped', '3 garlic cloves, minced', '1½ cups ketchup', '½ cup cider vinegar', '¼ cup Worcestershire sauce', '⅓ cup sugar', '1 tablespoon chili powder', '½ teaspoon cayenne pepper']","Add paprika, chili powder, cumin, brown sugar, salt, oregano, sugar, black pepper, and cayenne pepper to a small bowl and mix to combine. Rub the mixture into the pork roast, then wrap meat tightly with two layers of plastic wrap and refrigerate for at least 3 hours.
About 1 hour prior to cooking, unwrap the roast and let it come to room temperature. At the same time, soak 3-4 cups of wood chunks in cold water and then drain.
Heat the vegetable oil in a saucepan over medium heat, then cook the onion and garlic for about 5 minutes. Add the ketchup, vinegar, Worcestershire sauce, sugar, chili powder, and cayenne pepper, then reduce the heat and simmer until the sauce has thickened, about 20 minutes. Transfer to a bowl and set aside.
Preheat grill to high. Place the wood chips in a smoker box or vented foil pouch and heat until they begin to smoke. Turn the heat down to medium. When your grill is about 250 degrees, place the pork on the grill and cook until it is fork-tender and the internal temperature reaches 165 degrees, about 5-6 hours. Rotate the meat every 45 minutes.
Transfer the pork to a rimmed baking sheet. When cool enough to handle, use two large forks to shred the meat into bite-size pieces. Mound the meat onto a platter and toss with 1 cup of the barbecue sauce. Serve the remaining sauce with the buns of your choice.",pulled-pork-sandwiches-big-hurt-bbq,0,
9,Cinnamon Sugar Sourdough Waffles,"['1⁄4 cup (50 g) sugar', '1 tsp (3 g) cinnamon', '1⁄2 cup (120 g) leftover starter', '1 cup (240 ml) milk, whole or 2%', '3 tbsp (42 g) unsalted butter, melted, divided', '1 large egg', '1 cup (120 g) all-purpose flour', '1 tbsp (12 g) sugar', '2 tsp (10 g) baking powder', '1⁄2 tsp fine sea salt', 'Cooking spray, for coating', '1 cup (165 g) cubed pineapple', 'Handful of mixed seasonal berries', '1⁄4 cup (30 g) coconut flakes', 'Maple syrup', 'to serve']","Combine the cinnamon and sugar in a shallow bowl.
Preheat your waffle iron according to the manufacturer’s instructions. Add the leftover starter, milk, 2 tablespoons (28 g) of melted butter, and egg into a large bowl. Whisk well to combine. Add the flour, sugar, baking powder, and salt and continue to whisk until smooth. If the batter seems too thick, add more milk to thin out the texture. This will all depend on the consistency of your sourdough starter.
Lightly coat the waffle iron with cooking spray. Ladle some of the batter into the waffle iron to fill the pan. Cook for 3 to 5 minutes, or until golden and crisp. Transfer to a cutting board and brush lightly with some of the remaining melted butter. Press the waffle into the cinnamon sugar to coat on both sides. Repeat to cook the rest of the waffles.
To serve, top your waffles with the pineapple, mixed berries, and coconut flakes. Enjoy with sweet maple syrup on the side.
TIP: Once completely cool, these waffles can be frozen for up to 2 months. Cover in plastic wrap and a layer of foil before freezing. Bake frozen at 177°C (180°C) until warmed through.",cinnamon-sugar-sourdough-waffles-artisan-sourdough-made-simple,0,
